Datetime,Open,High,Low,Close,Volume,current_median,Upper Band,Lower Band,previous_median
2023-06-25 00:00:00+00:00,17.780000686645508,17.924999237060547,17.575000762939453,17.739999771118164,4671707,,,,
2023-07-02 00:00:00+00:00,17.65999984741211,18.165000915527344,17.260000228881836,18.094999313354492,14333182,,,,
2023-07-09 00:00:00+00:00,18.229999542236328,18.450000762939453,17.280000686645508,17.639999389648438,10639433,,,,
2023-07-16 00:00:00+00:00,17.649999618530273,18.290000915527344,17.545000076293945,18.065000534057617,10909406,,,,
2023-07-23 00:00:00+00:00,18.1299991607666,18.6200008392334,18.030000686645508,18.4950008392334,11536524,,,,
2023-07-30 00:00:00+00:00,18.389999389648438,19.360000610351562,18.3700008392334,19.315000534057617,15729575,18.08,19.12,17.04,
2023-08-06 00:00:00+00:00,19.329999923706055,19.360000610351562,18.709999084472656,19.225000381469727,10773522,18.3,19.45,17.15,18.08
2023-08-13 00:00:00+00:00,19.200000762939453,20.540000915527344,19.0049991607666,20.260000228881836,19678386,18.86,20.48,17.24,18.3
2023-08-20 00:00:00+00:00,20.299999237060547,21.06999969482422,20.239999771118164,20.6299991607666,26360275,19.27,20.95,17.59,18.86
2023-08-27 00:00:00+00:00,20.6200008392334,22.049999237060547,20.510000228881836,21.510000228881836,25109448,19.79,21.66,17.92,19.27
2023-09-03 00:00:00+00:00,21.889999389648438,23.760000228881836,21.709999084472656,23.3799991607666,43242813,20.44,23.09,17.79,19.79
2023-09-10 00:00:00+00:00,23.260000228881836,23.790000915527344,22.510000228881836,22.790000915527344,20998678,21.07,23.75,18.39,20.44
2023-09-17 00:00:00+00:00,22.700000762939453,23.799999237060547,22.6299991607666,23.459999084472656,18536779,22.15,24.53,19.77,21.07
2023-09-24 00:00:00+00:00,23.510000228881836,23.760000228881836,23.030000686645508,23.079999923706055,18343088,22.94,24.89,20.99,22.15
2023-10-01 00:00:00+00:00,23.040000915527344,23.219999313354492,21.200000762939453,22.670000076293945,20575800,22.94,24.15,21.73,22.94
2023-10-08 00:00:00+00:00,22.81999969482422,22.8799991607666,21.600000381469727,22.260000228881836,13193990,22.94,23.72,22.16,22.94
2023-10-15 00:00:00+00:00,22.1299991607666,22.84000015258789,21.90999984741211,22.010000228881836,12685919,22.73,23.63,21.83,22.94
2023-10-22 00:00:00+00:00,22.200000762939453,22.670000076293945,21.059999465942383,21.139999389648438,14028876,22.47,23.87,21.07,22.73
2023-10-29 00:00:00+00:00,21.200000762939453,21.510000228881836,20.8799991607666,21.229999542236328,11115904,22.14,23.45,20.83,22.47
2023-11-05 00:00:00+00:00,21.139999389648438,22.079999923706055,21.06999969482422,21.979999542236328,14419432,21.99,23.0,20.98,22.14
2023-11-12 00:00:00+00:00,22.100000381469727,22.979999542236328,21.81999969482422,22.010000228881836,19639422,21.99,22.78,21.2,21.99
2023-11-19 00:00:00+00:00,22.030000686645508,23.15999984741211,21.389999389648438,23.149999618530273,23683816,21.99,23.22,20.76,21.99
2023-11-26 00:00:00+00:00,23.100000381469727,23.520000457763672,22.899999618530273,23.329999923706055,14403290,21.99,23.57,20.41,21.99
2023-12-03 00:00:00+00:00,23.200000762939453,25.360000610351562,22.889999389648438,24.829999923706055,30980943,22.58,24.77,20.39,21.99
2023-12-10 00:00:00+00:00,24.850000381469727,25.079999923706055,23.989999771118164,24.950000762939453,18394749,23.24,25.45,21.03,22.58
2023-12-17 00:00:00+00:00,25.1200008392334,26.280000686645508,24.860000610351562,25.690000534057617,21232978,24.08,26.43,21.73,23.24
2023-12-24 00:00:00+00:00,25.579999923706055,26.549999237060547,25.280000686645508,26.309999465942383,17426994,24.89,27.03,22.75,24.08
2023-12-31 00:00:00+00:00,26.5,26.549999237060547,25.940000534057617,26.1200008392334,6053669,25.32,27.18,23.46,24.89
2024-01-07 00:00:00+00:00,26.0,26.0,24.780000686645508,25.469999313354492,11246745,25.58,26.6,24.56,25.32
2024-01-14 00:00:00+00:00,25.350000381469727,25.799999237060547,24.920000076293945,25.309999465942383,13480078,25.58,26.45,24.71,25.58
2024-01-21 00:00:00+00:00,25.329999923706055,25.559999465942383,24.799999237060547,24.989999771118164,15100695,25.58,26.43,24.73,25.58
2024-01-28 00:00:00+00:00,25.399999618530273,26.010000228881836,25.059999465942383,25.780000686645508,10862108,25.62,26.47,24.77,25.58
2024-02-04 00:00:00+00:00,25.75,26.290000915527344,24.969999313354492,25.729999542236328,19780150,25.6,26.27,24.93,25.62
2024-02-11 00:00:00+00:00,25.799999237060547,25.979999542236328,23.84000015258789,24.299999237060547,32637481,25.39,26.33,24.45,25.6
2024-02-18 00:00:00+00:00,24.360000610351562,24.739999771118164,23.940000534057617,24.5,14977498,25.15,26.2,24.1,25.39
2024-02-25 00:00:00+00:00,24.3799991607666,24.920000076293945,24.270000457763672,24.709999084472656,12992672,24.85,25.92,23.78,25.15
